iter	Passed	Remaining
0	13	13100
1	16	8186
2	19	6429
3	22	5501
4	24	4857
5	27	4489
6	29	4243
7	33	4164
8	35	3948
9	38	3791
10	40	3660
11	42	3539
12	45	3462
13	47	3373
14	49	3279
15	52	3213
16	55	3230
17	59	3250
18	62	3225
19	66	3244
20	70	3279
21	73	3246
22	75	3201
23	78	3201
24	81	3197
25	85	3193
26	88	3184
27	92	3224
28	95	3197
29	97	3160
30	100	3131
31	103	3117
32	106	3123
33	109	3108
34	112	3089
35	114	3076
36	117	3059
37	119	3032
38	122	3014
39	124	2990
40	127	2993
41	130	2986
42	133	2965
43	135	2946
44	137	2925
45	140	2904
46	143	2902
47	146	2904
48	150	2913
49	153	2912
50	156	2902
51	158	2889
52	161	2883
53	163	2871
54	166	2864
55	169	2863
56	172	2853
57	174	2839
58	177	2827
59	181	2849
60	186	2870
61	192	2907
62	196	2929
63	202	2957
64	206	2977
65	211	2998
66	224	3123
67	237	3255
68	250	3375
69	257	3415
70	262	3434
71	265	3425
72	269	3421
73	273	3421
74	276	3406
75	278	3391
76	282	3388
77	285	3380
78	288	3364
79	291	3357
80	295	3356
81	299	3349
82	302	3339
83	305	3335
84	309	3332
85	312	3324
86	315	3315
87	319	3308
88	322	3300
89	325	3288
90	327	3275
91	330	3263
92	333	3254
93	337	3248
94	339	3236
95	343	3231
96	345	3217
97	349	3213
98	351	3203
99	354	3188
100	357	3180
101	360	3173
102	363	3165
103	366	3156
104	369	3149
105	372	3144
106	376	3138
107	378	3130
108	382	3123
109	384	3112
110	387	3102
111	390	3094
112	392	3082
113	395	3076
114	398	3067
115	401	3057
116	406	3066
117	411	3075
118	420	3114
119	425	3121
120	430	3128
121	443	3190
122	452	3226
123	457	3231
124	462	3236
125	467	3244
126	472	3247
127	478	3258
128	484	3268
129	488	3269
130	491	3260
131	494	3253
132	497	3243
133	500	3233
134	502	3222
135	506	3216
136	509	3207
137	511	3196
138	515	3196
139	519	3188
140	522	3182
141	525	3176
142	528	3167
143	531	3157
144	533	3147
145	537	3143
146	541	3141
147	544	3132
148	548	3131
149	553	3135
150	556	3127
151	559	3118
152	561	3109
153	564	3099
154	566	3087
155	568	3077
156	571	3068
157	574	3060
158	577	3052
159	580	3046
160	583	3042
161	586	3035
162	590	3030
163	593	3025
164	597	3022
165	600	3015
166	604	3013
167	607	3009
168	610	3003
169	614	3001
170	618	2996
171	621	2990
172	624	2983
173	627	2978
174	630	2971
175	633	2965
176	637	2965
177	640	2958
178	644	2954
179	648	2952
180	650	2942
181	652	2933
182	655	2924
183	657	2915
184	660	2911
185	664	2909
186	667	2902
187	670	2896
188	673	2889
189	676	2885
190	680	2881
191	683	2878
192	687	2873
