policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,is_claim,segment,model,fuel_type,max_torque,max_power,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,gear_box,steering_type,turning_radius,Length,width,height,Gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating
ID00001,0.51587359,0.05,0.644230769,C1,4990,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00002,0.672618514,0.02,0.375,C2,"27003""",1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00003,0.841110256,0.02,0.384615385,C3,4076,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00004,0.900276559,0.11,0.432692308,C4,"21622""",1,0,C1,M2,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K12N Dualjet,2,Yes,Yes,No,Yes,Yes,Drum,1197,4,Automatic,5,Electric,4.8,(mm)3995,1735(mm),1515,1335KG,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00005,0.596402813,0.11,0.634615385,C5,34738,2,0,A,M3,Petrol,91Nm@4250rpm,67.06bhp@5500rpm,1.0 SCe,2,No,No,No,No,Yes,Drum,999,3,Automatic,5,Electric,5,(mm)3731,1579(mm),1490,1155KG,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,2
ID00006,1.018708538,0.07,0.519230769,C6,"13051""",3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00007,0.097992158,0.16,0.403846154,C7,6112,4,0,B2,M5,Diesel,200Nm@3000rpm,88.77bhp@4000rpm,1.5 Turbocharged Revotorq,2,No,Yes,No,Yes,No,Drum,1497,4,Manual,5,Electric,5,(mm)3990,1755(mm),1523,1490KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,5
ID00008,0.509084671,0.14,0.423076923,C8,"8794""",1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00009,0.282393518,0.07,0.298076923,C7,6112,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00010,0.566255433,0.04,0.442307692,C9,17804,1,0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1197,4,Automatic,5,Electric,4.85,(mm)3990,1745(mm),1500,1410KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
